 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=           1 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        2       27  13359.13123 -1.505275212E+00  1.069404505E-02  1.231766582E+00  7.341842622E-02  9.477167485E+00 -7.137060413E-04       11
        1       27  26629.04120 -1.045584461E+01  7.396922569E-01 -7.842000173E+00 -1.342968367E-01  4.223530839E+01 -1.015435870E-04       11
        2       27  26629.04120 -1.170931743E+00  6.665073528E-02 -4.953166176E+00 -8.592316424E-02  1.244006561E+01 -7.137060413E-04       11
        1       28     29.84200  6.556455410E+00 -8.901397592E-02  1.077006090E+01  7.806017944E-01  4.222902298E+01 -1.015510066E-04       11
        2       28     29.84200 -2.105177647E-01  1.839523981E-02  6.964882236E+00  5.029452608E-01  1.243846980E+01 -7.137134563E-04       11
        1       28  13359.13123  1.041947193E+01 -1.667458046E-01 -1.026026301E+01 -7.542423493E-01  4.262945451E+01 -8.911489270E-05       11
        2       28  13359.13123  2.244364624E+00 -3.933052828E-02 -1.107840262E+00 -9.369485632E-02  1.543039090E+01 -7.093376994E-04       11
        1       28  26629.04120  3.390336198E+00 -2.546704020E-01 -7.504479624E+00 -1.175044035E-01  4.301114588E+01 -8.911489270E-05       11
        2       28  26629.04120 -8.055057373E+00  5.676405171E-01 -3.515248325E+00 -6.165768868E-02  1.837699432E+01 -7.093376994E-04       11
        1       29     29.84200 -2.989790051E+00  4.966893356E-02  1.097293007E+01  7.869728314E-01  4.300735907E+01 -8.912231437E-05       11
        2       29     29.84200  4.911149913E+00 -6.555423595E-02  5.072652265E+00  3.647205285E-01  1.837443093E+01 -7.093451165E-04       11
        1       29  13359.13123  2.031420133E+00 -4.669393765E-02  4.586751163E+00  3.210350348E-01  4.336948955E+01 -7.648019255E-05       11
        2       29  13359.13123  9.242933478E+00 -1.514417374E-01  2.958979831E+00  1.999100396E-01  2.133751611E+01 -7.032209015E-04       11
        1       29  26629.04120  6.472505896E+00 -4.838768514E-01  4.165341309E+00  5.375119703E-02  4.370146296E+01 -7.648019255E-05       11
        2       29  26629.04120  5.449216042E+00 -4.049642309E-01 -1.826270470E+00 -3.825257443E-02  2.425715767E+01 -7.032209015E-04       11
        1       30     29.84200 -5.573081263E+00  9.859940194E-02 -5.852416998E+00 -4.225237144E-01  4.369901819E+01 -7.648761631E-05       11
        2       30     29.84200 -4.543610385E+00  7.575711960E-02  2.553092561E+00  1.845438562E-01  2.425579842E+01 -7.032283206E-04       11
        1       30  13359.13123 -2.363616629E+00  2.934457842E-02  8.219579903E+00  5.748163476E-01  4.400733278E+01 -6.366356944E-05       11
        2       30  13359.13123  4.355356487E-01 -2.030454118E-02  1.925128347E+00  1.234740583E-01  2.720021880E+01 -6.953880785E-04       11
        1       30  26629.04120 -9.844738908E+00  6.936771993E-01 -6.227360677E+00 -1.106323457E-01  4.428671217E+01 -6.366356944E-05       11
        2       30  26629.04120  2.461472125E+00 -1.949141006E-01 -4.668452214E+00 -8.198668541E-02  3.008676628E+01 -6.953880785E-04       11
        1       31     29.84200  6.011949382E+00 -7.802256060E-02  8.439325858E+00  6.130750348E-01  4.428210369E+01 -6.367099528E-05       11
        2       31     29.84200 -2.750917797E+00  5.629469233E-02  6.539307536E+00  4.725170216E-01  3.008507585E+01 -6.953954996E-04       11
        1       31  13359.13123  9.427869246E+00 -1.490767195E-01 -9.778441437E+00 -7.206587473E-01  4.452648692E+01 -5.069541416E-05       11
        2       31  13359.13123 -1.205240717E-01 -4.147549483E-03 -1.293223768E+00 -1.073921463E-01  3.299511649E+01 -6.858746405E-04       11
        1       31  26629.04120 -8.869690595E-01  5.417837883E-02 -9.004523765E+00 -1.411953513E-01  4.475031035E+01 -5.069541416E-05       11
        2       31  26629.04120 -8.835573677E+00  6.224480543E-01 -4.009337070E+00 -6.925812907E-02  3.584440287E+01 -6.858746405E-04       11
