 # DUMP format #2, bez=mcbxh.1r1       , number of particles=           2
 # dump period=         100 , first turn=           1 , last turn=          -1
 # ID turn s[m] x[mm] xp[mrad] y[mm] yp[mrad] z[mm] dE/E[1] ktrack
        2     2401     29.84200 -5.443925307E-01  1.850554418E-02  5.028205238E+00  3.625707713E-01 -3.012895510E+01 -1.957124202E-04       11
        1     2401  13359.13123  3.369109986E+00 -6.091642271E-02  6.976240033E-01  3.608692979E-02 -2.930159671E+01 -2.044347257E-04       11
        2     2401  13359.13123  3.369103534E+00 -6.091634550E-02  6.976234002E-01  3.608688615E-02 -2.930159685E+01 -2.044347251E-04       11
        1     2401  26629.04120 -7.467773421E-01  3.949296692E-02 -3.507191845E+00 -6.298242257E-02 -2.844462739E+01 -2.044347257E-04       11
        2     2401  26629.04120 -7.467542574E-01  3.949129151E-02 -3.507192257E+00 -6.298242857E-02 -2.844462754E+01 -2.044347251E-04       11
        1     2501     29.84200 -5.270230904E-01  1.809447168E-02  5.104389794E+00  3.679884501E-01 -3.934256629E+01  1.305152400E-04       11
        2     2501     29.84200 -5.270349252E-01  1.809463161E-02  5.104389605E+00  3.679884366E-01 -3.934256623E+01  1.305152408E-04       11
        1     2501  13359.13123  3.414071122E+00 -6.149783282E-02  4.304645369E-01  1.683536211E-02 -3.988194015E+01  1.188636317E-04       11
        2     2501  13359.13123  3.414062085E+00 -6.149771675E-02  4.304643961E-01  1.683535182E-02 -3.988194009E+01  1.188636326E-04       11
        1     2501  26629.04120 -7.593889473E-01  4.050645570E-02 -3.566506167E+00 -6.378739162E-02 -4.036109204E+01  1.188636317E-04       11
        2     2501  26629.04120 -7.593684724E-01  4.050496730E-02 -3.566506423E+00 -6.378739550E-02 -4.036109199E+01  1.188636326E-04       11
        1     2601     29.84200 -5.186647137E-01  1.790051252E-02  5.131380810E+00  3.699105603E-01  1.216908064E+01  2.579833070E-04       11
        2     2601     29.84200 -5.186760624E-01  1.790066480E-02  5.131380813E+00  3.699105605E-01  1.216908079E+01  2.579833068E-04       11
        1     2601  13359.13123  3.431383030E+00 -6.171386308E-02  3.161889653E-01  8.597247173E-03  1.107894976E+01  2.613670839E-04       11
        2     2601  13359.13123  3.431374035E+00 -6.171374814E-02  3.161889641E-01  8.597247088E-03  1.107894991E+01  2.613670838E-04       11
        1     2601  26629.04120 -7.650749824E-01  4.096234507E-02 -3.600014857E+00 -6.426051878E-02  1.001097352E+01  2.613670839E-04       11
        2     2601  26629.04120 -7.650543046E-01  4.096084202E-02 -3.600014851E+00 -6.426051869E-02  1.001097367E+01  2.613670838E-04       11
        1     2701     29.84200 -5.249311080E-01  1.813177673E-02  5.060301153E+00  3.648522847E-01  4.495330370E+01 -1.154229083E-05       11
        2     2701     29.84200 -5.249441801E-01  1.813195604E-02  5.060301498E+00  3.648523096E-01  4.495330366E+01 -1.154229169E-05       11
        1     2701  13359.13123  3.404639214E+00 -6.137527392E-02  5.365584562E-01  2.446902714E-02  4.498464386E+01  1.572100184E-06       11
        2     2701  13359.13123  3.404629338E+00 -6.137514445E-02  5.365580516E-01  2.446899803E-02  4.498464383E+01  1.572099320E-06       11
        1     2701  26629.04120 -7.724231373E-01  4.141756347E-02 -3.557656896E+00 -6.369827304E-02  4.499019259E+01  1.572100184E-06       11
        2     2701  26629.04120 -7.724038688E-01  4.141616174E-02 -3.557656940E+00 -6.369827344E-02  4.499019257E+01  1.572099320E-06       11
        1     2801     29.84200 -5.228814944E-01  1.824153153E-02  5.001397399E+00  3.606615954E-01  8.566873906E+00 -2.619961072E-04       11
        2     2801     29.84200 -5.228980765E-01  1.824176619E-02  5.001397743E+00  3.606616204E-01  8.566873767E+00 -2.619961072E-04       11
        1     2801  13359.13123  3.376566565E+00 -6.100595122E-02  7.432039238E-01  3.936222403E-02  9.660602005E+00 -2.591950653E-04       11
        2     2801  13359.13123  3.376553612E+00 -6.100577286E-02  7.432031973E-01  3.936217160E-02  9.660601874E+00 -2.591950653E-04       11
        1     2801  26629.04120 -7.869692412E-01  4.239628820E-02 -3.510881371E+00 -6.306108381E-02  1.074392767E+01 -2.591950653E-04       11
        2     2801  26629.04120 -7.869546132E-01  4.239522007E-02 -3.510881669E+00 -6.306108794E-02  1.074392754E+01 -2.591950653E-04       11
        1     2901     29.84200 -5.082799863E-01  1.796146653E-02  5.039359438E+00  3.633590561E-01 -4.098341407E+01 -1.061928390E-04       11
        2     2901     29.84200 -5.082985684E-01  1.796173330E-02  5.039359438E+00  3.633590564E-01 -4.098341411E+01 -1.061928381E-04       11
        1     2901  13359.13123  3.405657602E+00 -6.139934178E-02  6.225212745E-01  3.066822660E-02 -4.052866869E+01 -1.180959224E-04       11
        2     2901  13359.13123  3.405641852E+00 -6.139911979E-02  6.225207152E-01  3.066818609E-02 -4.052866873E+01 -1.180959215E-04       11
        1     2901  26629.04120 -7.923683767E-01  4.283682651E-02 -3.532619137E+00 -6.334348171E-02 -4.002854265E+01 -1.180959224E-04       11
        2     2901  26629.04120 -7.923580829E-01  4.283606994E-02 -3.532619574E+00 -6.334348812E-02 -4.002854270E+01 -1.180959215E-04       11
        1     3001     29.84200 -4.895002922E-01  1.752548489E-02  5.113124145E+00  3.686059456E-01 -2.728268620E+01  2.137821883E-04       11
        2     3001     29.84200 -4.895190632E-01  1.752575515E-02  5.113123828E+00  3.686059229E-01 -2.728268607E+01  2.137821887E-04       11
        1     3001  13359.13123  3.452004206E+00 -6.199979825E-02  3.552703788E-01  1.140972908E-02 -2.817516529E+01  2.055099953E-04       11
        2     3001  13359.13123  3.451987327E+00 -6.199955945E-02  3.552703069E-01  1.140972371E-02 -2.817516515E+01  2.055099958E-04       11
        1     3001  26629.04120 -7.998324150E-01  4.348055184E-02 -3.595582341E+00 -6.420623400E-02 -2.901233665E+01  2.055099953E-04       11
        2     3001  26629.04120 -7.998238317E-01  4.347991799E-02 -3.595582643E+00 -6.420623863E-02 -2.901233652E+01  2.055099958E-04       11
        1     3101     29.84200 -4.881168322E-01  1.750314213E-02  5.103903038E+00  3.679484284E-01  2.861211230E+01  2.059512511E-04       11
        2     3101     29.84200 -4.881354050E-01  1.750340914E-02  5.103902937E+00  3.679484212E-01  2.861211239E+01  2.059512504E-04       11
